"Local Area (2011 LSOA)","Name","Overall rank(2019)","Quintile","Income(2019)","Quintile","Employment(2019)","Quintile","Health(2019)","Quintile","Education(2019)","Quintile","Access to Services(2019)","Quintile","Housing(2019)","Quintile","Community Safety(2019)","Quintile","Physical Environment(2019)","Quintile",
"W01000104","W01000104 - Penygroes (Gwynedd)","1090","50% least deprived","697","31%-50% most deprived","796","31%-50% most deprived","867","31%-50% most deprived","1409","50% least deprived","1656","50% least deprived","860","31%-50% most deprived","794","31%-50% most deprived","1886","50% least deprived",
"W01000105","W01000105 - Porthmadog East","1141","50% least deprived","1157","50% least deprived","1245","50% least deprived","1119","50% least deprived","701","31%-50% most deprived","1705","50% least deprived","269","11%-20% most deprived","979","50% least deprived","673","31%-50% most deprived",
"W01000106","W01000106 - Porthmadog West","1661","50% least deprived","1535","50% least deprived","1662","50% least deprived","1623","50% least deprived","1615","50% least deprived","967","50% least deprived","1372","50% least deprived","559","21%-30% most deprived","1654","50% least deprived",
"W01000107","W01000107 - Porthmadog - Tremadog","1082","50% least deprived","1135","50% least deprived","1278","50% least deprived","1471","50% least deprived","1247","50% least deprived","144","10% most deprived","588","31%-50% most deprived","1212","50% least deprived","895","31%-50% most deprived",
"W01000108","W01000108 - Pwllheli North","1078","50% least deprived","859","31%-50% most deprived","962","50% least deprived","1070","50% least deprived","1062","50% least deprived","1350","50% least deprived","710","31%-50% most deprived","450","21%-30% most deprived","1186","50% least deprived",
"W01000109","W01000109 - Pwllheli South","1042","50% least deprived","722","31%-50% most deprived","880","31%-50% most deprived","1139","50% least deprived","1044","50% least deprived","1174","50% least deprived","868","31%-50% most deprived","1028","50% least deprived","806","31%-50% most deprived",
"W01000110","W01000110 - Seiont 1","1204","50% least deprived","973","50% least deprived","1046","50% least deprived","1036","50% least deprived","1039","50% least deprived","551","21%-30% most deprived","1716","50% least deprived","1160","50% least deprived","1807","50% least deprived",
"W01000111","W01000111 - Seiont 2","650","31%-50% most deprived","761","31%-50% most deprived","756","31%-50% most deprived","816","31%-50% most deprived","713","31%-50% most deprived","532","21%-30% most deprived","398","21%-30% most deprived","59","10% most deprived","1742","50% least deprived",
"W01000112","W01000112 - Talysarn","569","21%-30% most deprived","610","31%-50% most deprived","775","31%-50% most deprived","1039","50% least deprived","818","31%-50% most deprived","117","10% most deprived","127","10% most deprived","859","31%-50% most deprived","1334","50% least deprived",
"W01000113","W01000113 - Teigl","862","31%-50% most deprived","814","31%-50% most deprived","973","50% least deprived","942","31%-50% most deprived","798","31%-50% most deprived","236","11%-20% most deprived","831","31%-50% most deprived","942","31%-50% most deprived","1647","50% least deprived",
"W01000114","W01000114 - Trawsfynydd","1119","50% least deprived","1197","50% least deprived","1421","50% least deprived","1505","50% least deprived","1008","50% least deprived","174","10% most deprived","298","11%-20% most deprived","1410","50% least deprived","1746","50% least deprived",
"W01000115","W01000115 - Tregarth & Mynydd Llandygai","1187","50% least deprived","1234","50% least deprived","1267","50% least deprived","1546","50% least deprived","1611","50% least deprived","220","11%-20% most deprived","367","11%-20% most deprived","825","31%-50% most deprived","1329","50% least deprived",
"W01000116","W01000116 - Tywyn 1","1410","50% least deprived","1263","50% least deprived","1399","50% least deprived","1233","50% least deprived","1339","50% least deprived","395","21%-30% most deprived","1383","50% least deprived","1382","50% least deprived","1595","50% least deprived",
"W01000117","W01000117 - Tywyn 2","747","31%-50% most deprived","623","31%-50% most deprived","737","31%-50% most deprived","562","21%-30% most deprived","621","31%-50% most deprived","1038","50% least deprived","1052","50% least deprived","1422","50% least deprived","632","31%-50% most deprived",
